Code,VISIT_DATE,Period,ALL_SPECIES,FHS_Ref,All_Ref,DEPTH,RICHNESS,Australasian Shoveler,Australasian Grebe,Australian Pelican,Australian Shelduck,Banded Stilt,Australian Wood Duck,Black Swan,Black-fronted Dotteral,Black-tailed Native-Hen,Black-winged Stilt,Blue-billed Duck,Chestnut Teal,Clamorous Reed Warbler,Darter,Dusky Moorhen,Eurasian Coot,Freckled Duck,Great Cormorant,Great Egret,Great Crested Grebe,Greenshank,Grey Teal,Hardhead,Hoary-headed Grebe,Little Black Cormorant,Little Pied Cormorant,Swamp Harrier,Marsh Sandpiper,Musk Duck,Oriental Plover,Pacific Black Duck,Pied Cormorant,Pink-eared Duck,Purple Swamphen (northern),Red-capped Plover,Red-kneed Dotteral,Nankeen Night Heron,Australian White Ibis,Sharp-tailed Sandpiper,Silver Gull,Straw-necked Ibis,Whistered Tern,White-faced Heron,White-necked Heron,Wood Sandpiper,Yellow-billed Spoonbill
T1274,16/12/1974,1974,N,N,Y,,24,2,2,,2,,15,2,,,,2,,1,,,400,2,25,40,15,,300,10,6,30,100,,,20,,40,,2,1,,,20,,,1,,,4,,,
T1075,28/10/1975,1975,A,Y,Y,0.76,18,1,1,,1,,1,1,,,,,,,1,,1,1,,1,,,1,,,,,,,1,,1,1,1,1,,,1,,,,,,1,1,,
T1276,29/12/1976,1976,N,N,N,0.69,14,50,,,600,,200,80,,,,,,,,,,,,9,,,5000,150,,1,1,,,,,200,,20,,,,,,,,,,40,,,7
WR0781,18/07/1981,1980s,N,N,N,0.25,4,,,,,,2,,,,,,,,,,,,,,,,1000,,,,,,,,,10,,5,,,,,,,,,,,,,
WR1081,25/10/1981,1980s,N,N,N,0.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
WR10A81,26/10/1981,1980s,N,N,N,0.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
WR1181,24/11/1981,1980s,N,N,N,0.38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
WR0382,16/03/1982,1980s,N,N,N,0.8,4,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,
WR0482,24/04/1982,1980s,N,N,N,0.75,3,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,4,,,,,,,,,,3,,,
WR0782,18/07/1982,1980s,N,N,N,0.75,7,,7,,18,,,2,,,,,,,,,37,,,,,,,,,,,,,,,85,,12,,,,,,,,,,9,,,
WR0882,14/08/1982,1980s,N,N,N,0.75,9,2,,,2,,,2,,,,,,,,,20,,,,,,15,,,,,,,2,,2,,8,,,,,,,,,,2,,,
WR1082,23/10/1982,1980s,A,N,Y,0.65,7,,,,7,,12,4,,,,,,,,,350,,,,,,,,,,,,,,,,,43,,,,,,,,,,9,2,,
WR1282,1/12/1982,1980s,N,N,N,0.3,3,,,,,,,,,4,,,,,,,30,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
WR0883,24/08/1983,1980s,N,N,N,1.25,5,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,52,,50,,,,,,,,,,8,,,
WR08A83,26/08/1983,1980s,N,N,N,1.25,4,,,,,,,1,,,,,,,,,,6,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,
WR1183,5/11/1983,1980s,N,N,N,1,12,1,,,,,,6,,,,,,,,,15,2,,2,,,40,,20,,5,,,,,,,5,,,,2,,,,,,2,3,,
WR0884,13/08/1984,1980s,N,N,N,0.5,7,,,,1,,,7,,,,,,,,,35,,,,,,7,,,,,,,2,,,,,,,,,9,,,,,1,,,
