Sample,Year,Wetland,Wetlandfull,Order,Survey
TE-A17,2017,T,Toolibin,2,A17
TS-A17,2017,T,Toolibin,2,A17
TW-A17,2017,T,Toolibin,2,A17
W1-A17,2017,W,Walbyring,2,A17
W2-A17,2017,W,Walbyring,2,A17
W3-A17,2017,W,Walbyring,2,A17
TE-D96,1996,T,Toolibin,1,D96
TS-D96,1996,T,Toolibin,1,D96
TW-D96,1996,T,Toolibin,1,D96
W1-D96,1996,W,Walbyring,1,D96
W2-D96,1996,W,Walbyring,1,D96
W3-D96,1996,W,Walbyring,1,D96
TE-J22,2021-22,T,Toolibin,5,J22
TS-J22,2021-22,T,Toolibin,5,J22
TW-J22,2021-22,T,Toolibin,5,J22
W1-J22,2021-22,W,Walbyring,5,J22
W2-J22,2021-22,W,Walbyring,5,J22
W3-J22,2021-22,W,Walbyring,5,J22
TE-N21,2021-22,T,Toolibin,4,N21
TS-N21,2021-22,T,Toolibin,4,N21
TW-N21,2021-22,T,Toolibin,4,N21
W1-N21,2021-22,W,Walbyring,4,N21
W2-N21,2021-22,W,Walbyring,4,N21
W3-N21,2021-22,W,Walbyring,4,N21
TE-O17,2017,T,Toolibin,3,O17
TS-O17,2017,T,Toolibin,3,O17
TW-O17,2017,T,Toolibin,3,O17
W1-O17,2017,W,Walbyring,3,O17
W2-O17,2017,W,Walbyring,3,O17
W3-O17,2017,W,Walbyring,3,O17
SPS034,1990s,R,Reference,6,90s
SPS049,1990s,R,Reference,6,90s
SPS072,1990s,R,Reference,6,90s
SPS082,1990s,R,Reference,6,90s
SPS083,1990s,R,Reference,6,90s
SPS111,1990s,R,Reference,6,90s
