Guild,Group,Species
Aerial,Raptors,Swamp.Harrier
Aerial,Seabirds,Whiskered.Tern
Dabbler-mixed,Ducks,Australasian.Shoveler
Dabbler-mixed,Ducks,Australian.Shelduck
Dabbler-mixed,Swans,Black.Swan
Dabbler-mixed,Ducks,Chestnut.Teal
Dabbler-mixed,Ducks,Freckled.Duck
Dabbler-mixed,Ducks,Grey.Teal
Dabbler-mixed,Ducks,Hardhead
Dabbler-mixed,Ducks,Pacific.Black.Duck
Dabbler-mixed,Ducks,Pink.eared.Duck
Diver-animal,Grebes,Australasian.Grebe
Diver-animal,Pelicans,Australian.Pelican
Diver-animal,Cormorants,Darter
Diver-animal,Cormorants,Great.Cormorant
Diver-animal,Grebes,Great.Crested.Grebe
Diver-animal,Grebes,Hoary.headed.Grebe
Diver-animal,Cormorants,Little.Black.Cormorant
Diver-animal,Cormorants,Little.Pied.Cormorant
Diver-animal,Cormorants,Pied.Cormorant
Diver-mixed,Ducks,Blue.billed.Duck
Diver-mixed,Ducks,Musk.Duck
Diver-mixed,Hens and coots,Dusky.Moorhen
Diver-mixed,Hens and coots,Eurasian.Coot
Large_wader,Large waders,Great.Egret
Large_wader,Large waders,White.necked.Heron
Large_wader,Large waders,Nankeen.Night.Heron
Large_wader,Large waders,White.faced.Heron
Large_wader,Large waders,Yellow.billed.Spoonbill
Shorefeeder-animal,Shorebirds,Banded.Lapwing
Shorefeeder-animal,Large waders,Glossy.Ibis
Shorefeeder-animal,Large waders,Australian.White.Ibis
Shorefeeder-animal,Seabirds,Silver.Gull
Shorefeeder-animal,Large waders,Straw.necked.Ibis
Shorefeeder-animal,Large waders,Australasian.Bittern
Shorefeeder-veg,Hens and coots,Black.tailed.Native.Hen
Shorefeeder-veg,Ducks,Australian.Wood.Duck
Shorefeeder-veg,Hens and coots,Purple.Swamphen
Small_wader,Shorebirds,Banded.Stilt
Small_wader,Shorebirds,Black.fronted.Dotteral
Small_wader,Shorebirds,Black.winged.Stilt
Small_wader,Shorebirds,Common.Sandpiper
Small_wader,Shorebirds,Greenshank
Small_wader,Shorebirds,Oriental.Plover
Small_wader,Shorebirds,Marsh.Sandpiper
Small_wader,Shorebirds,Red.necked.Avocet
Small_wader,Shorebirds,Red.necked.stint
Small_wader,Shorebirds,Red.capped.Plover
Small_wader,Shorebirds,Red.kneed.Dotteral
Small_wader,Shorebirds,Sharp.tailed.Sandpiper
Small_wader,Shorebirds,Wood.Sandpiper
Terrestrial- animal,Terrestrial,Clamorous.Reed.Warbler
