"","Survey","Period","Guild","Richness"
"1","T0888","Reference","Dabbler-mixed",6
"2","T0888","Reference","Diver-animal",1
"3","T0888","Reference","Diver-veg",1
"4","T0888","Reference","aerial",1
"5","T0888","Reference","large_wader",2
"6","T0888","Reference","small_wader",2
"7","T0990","Reference","Dabbler-mixed",5
"8","T0990","Reference","Diver-animal",3
"9","T0990","Reference","Diver-mixed",1
"10","T0990","Reference","Diver-veg",1
"11","T0990","Reference","large_wader",2
"12","T0990","Reference","shorefeeder-veg",1
"13","T1075","Reference","Dabbler-mixed",7
"14","T1075","Reference","Diver-animal",3
"15","T1075","Reference","Diver-mixed",1
"16","T1075","Reference","Diver-veg",1
"17","T1075","Reference","large_wader",4
"18","T1075","Reference","shorefeeder-veg",2
"19","T1274","Reference","Dabbler-mixed",8
"20","T1274","Reference","Diver-animal",6
"21","T1274","Reference","Diver-mixed",2
"22","T1274","Reference","Diver-veg",1
"23","T1274","Reference","large_wader",3
"24","T1274","Reference","shorefeeder-animal",1
"25","T1274","Reference","shorefeeder-veg",2
"26","T1274","Reference","terrestrial- animal",1
"27","T1276","Reference","Dabbler-mixed",7
"28","T1276","Reference","Diver-animal",2
"29","T1276","Reference","large_wader",3
"30","T1276","Reference","shorefeeder-veg",1
"31","T1296","1996-2022","Dabbler-mixed",7
"32","T1296","1996-2022","Diver-animal",3
"33","T1296","1996-2022","Diver-veg",1
"34","T1296","1996-2022","large_wader",4
"35","T1296","1996-2022","shorefeeder-veg",1
"36","T1296","1996-2022","small_wader",3
"37","TM0122","1996-2022","Dabbler-mixed",7
"38","TM0122","1996-2022","Diver-animal",2
"39","TM0122","1996-2022","Diver-mixed",1
"40","TM0122","1996-2022","Diver-veg",1
"41","TM0122","1996-2022","large_wader",3
"42","TM0122","1996-2022","shorefeeder-animal",1
"43","TM0122","1996-2022","shorefeeder-veg",2
"44","TM0417","1996-2022","Dabbler-mixed",6
"45","TM0417","1996-2022","Diver-animal",2
"46","TM0417","1996-2022","Diver-mixed",1
"47","TM0417","1996-2022","Diver-veg",1
"48","TM0417","1996-2022","large_wader",1
"49","TM0417","1996-2022","shorefeeder-animal",1
"50","TM0417","1996-2022","shorefeeder-veg",1
"51","TM1017","1996-2022","Dabbler-mixed",7
"52","TM1017","1996-2022","Diver-animal",1
"53","TM1017","1996-2022","Diver-mixed",1
"54","TM1017","1996-2022","Diver-veg",1
"55","TM1017","1996-2022","aerial",1
"56","TM1017","1996-2022","large_wader",2
"57","TM1017","1996-2022","shorefeeder-animal",1
"58","TM1017","1996-2022","shorefeeder-veg",2
"59","TM1017","1996-2022","small_wader",1
"60","TM1121","1996-2022","Dabbler-mixed",6
"61","TM1121","1996-2022","Diver-animal",2
"62","TM1121","1996-2022","Diver-mixed",2
"63","TM1121","1996-2022","Diver-veg",1
"64","TM1121","1996-2022","large_wader",1
"65","TM1121","1996-2022","shorefeeder-veg",1
"66","TM1296","1996-2022","Dabbler-mixed",8
"67","TM1296","1996-2022","Diver-animal",2
"68","TM1296","1996-2022","Diver-veg",1
"69","TM1296","1996-2022","large_wader",4
"70","TM1296","1996-2022","small_wader",2
"71","TR0184","Reference","Dabbler-mixed",6
"72","TR0184","Reference","Diver-animal",6
"73","TR0184","Reference","Diver-mixed",2
"74","TR0184","Reference","Diver-veg",1
"75","TR0184","Reference","large_wader",3
"76","TR0184","Reference","shorefeeder-veg",1
"77","TR03D82","Reference","Dabbler-mixed",7
"78","TR03D82","Reference","Diver-animal",1
"79","TR03D82","Reference","Diver-mixed",2
"80","TR03D82","Reference","Diver-veg",1
"81","TR03D82","Reference","large_wader",3
"82","TR03D82","Reference","shorefeeder-veg",1
"83","TR0982","Reference","Dabbler-mixed",8
"84","TR0982","Reference","Diver-animal",5
"85","TR0982","Reference","Diver-mixed",1
"86","TR0982","Reference","Diver-veg",1
"87","TR0982","Reference","aerial",1
"88","TR0982","Reference","large_wader",4
"89","TR0982","Reference","shorefeeder-animal",1
"90","TR0982","Reference","shorefeeder-veg",1
"91","TR0983","Reference","Dabbler-mixed",7
"92","TR0983","Reference","Diver-animal",5
"93","TR0983","Reference","Diver-mixed",2
"94","TR0983","Reference","Diver-veg",1
"95","TR0983","Reference","large_wader",3
"96","TR0983","Reference","shorefeeder-veg",2
"97","TR0984","Reference","Dabbler-mixed",7
"98","TR0984","Reference","Diver-animal",5
"99","TR0984","Reference","Diver-mixed",2
"100","TR0984","Reference","Diver-veg",1
"101","TR0984","Reference","large_wader",4
"102","TR0984","Reference","shorefeeder-animal",1
"103","TR0984","Reference","shorefeeder-veg",1
"104","TR1081","Reference","Dabbler-mixed",8
"105","TR1081","Reference","Diver-animal",4
"106","TR1081","Reference","Diver-mixed",1
"107","TR1081","Reference","Diver-veg",1
"108","TR1081","Reference","large_wader",3
"109","TR1081","Reference","shorefeeder-veg",1
"110","TR11A82","Reference","Dabbler-mixed",7
"111","TR11A82","Reference","Diver-animal",6
"112","TR11A82","Reference","Diver-mixed",2
"113","TR11A82","Reference","Diver-veg",1
"114","TR11A82","Reference","large_wader",4
"115","TR11A82","Reference","shorefeeder-animal",2
"116","TR11A82","Reference","shorefeeder-veg",1
